"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"269","geneComp_00026549","PRKCQ-AS1","PRKCQ-AS1","normal","tumor",0.00407671068792803,TRUE,169
"270","geneComp_00035238","ZXDC","ZXDC","normal","tumor",0.00410036362451546,TRUE,170
"271","geneComp_00034234","YIPF4","YIPF4","normal","tumor",0.00416688402957467,TRUE,171
"273","geneComp_00034627","ZNF232","ZNF232","normal","tumor",0.00418882124375256,TRUE,172
"274","geneComp_00032957","TRIM73","TRIM73","normal","tumor",0.00456508964749195,TRUE,173
"275","geneComp_00024843","ORC6","ORC6","normal","tumor",0.00458898937433486,TRUE,174
"276","geneComp_00029469","SETD4","SETD4","normal","tumor",0.00461885200018429,TRUE,175
"277","geneComp_00018043","HHAT","HHAT","normal","tumor",0.00474653298361824,TRUE,176
"278","geneComp_00001292","ARMCX6","ARMCX6","normal","tumor",0.00490621201830914,TRUE,177
"280","geneComp_00028842","RPUSD3","RPUSD3","normal","tumor",0.00494857258326042,TRUE,178
"282","geneComp_00004771","DBP","DBP","normal","tumor",0.00505692989388758,TRUE,179
"283","geneComp_00002307","C1QTNF6","C1QTNF6","normal","tumor",0.0050977113459612,TRUE,180
"284","geneComp_00016113","FANCG","FANCG","normal","tumor",0.00510504419513021,TRUE,181
"285","geneComp_00024551","OBSL1","OBSL1","normal","tumor",0.00510504419513021,TRUE,182
"287","geneComp_00034134","WWOX","WWOX","normal","tumor",0.00528887916530755,TRUE,183
"288","geneComp_00016966","GDAP2","GDAP2","normal","tumor",0.00543147428115041,TRUE,184
"289","geneComp_00028858","RRM2","RRM2","normal","tumor",0.00557428928160352,TRUE,185
"290","geneComp_00033265","TULP4","TULP4","normal","tumor",0.00565675577534618,TRUE,186
"291","geneComp_00027454","RDH5","RDH5","normal","tumor",0.00569943206265155,TRUE,187
"292","geneComp_00025271","PCGF5","PCGF5","normal","tumor",0.00577593628885302,TRUE,188
"294","geneComp_00017342","GPATCH8","GPATCH8","normal","tumor",0.00582374181539068,TRUE,189
"295","geneComp_00030265","SMC1A","SMC1A","normal","tumor",0.00587639049410214,TRUE,190
"296","geneComp_00031188","STOML1","STOML1","normal","tumor",0.00605967115279258,TRUE,191
"297","geneComp_00021927","LRRC43","LRRC43","normal","tumor",0.00614005459273242,TRUE,192
"298","geneComp_00026315","PPM1H","PPM1H","normal","tumor",0.00614956869822523,TRUE,193
"300","geneComp_00019451","KAZALD1","KAZALD1","normal","tumor",0.00616176346968243,TRUE,194
"302","geneComp_00022668","MICALL1","MICALL1","normal","tumor",0.00617028808242267,TRUE,195
"304","geneComp_00021876","LRP8","LRP8","normal","tumor",0.00622694268442537,TRUE,196
"306","geneComp_00034607","ZNF213-AS1","ZNF213-AS1","normal","tumor",0.00630436615919879,TRUE,197
"308","geneComp_00034970","ZNF655","ZNF655","normal","tumor",0.00663895200492761,TRUE,198
"309","geneComp_00028912","RTCA","RTCA","normal","tumor",0.00680938769267415,TRUE,199
"311","geneComp_00022605","MFN1","MFN1","normal","tumor",0.00688022131163329,TRUE,200
"312","geneComp_00026548","PRKCQ","PRKCQ","normal","tumor",0.00757681395976516,TRUE,201
"314","geneComp_00001072","APOO","APOO","normal","tumor",0.00765025050661449,TRUE,202
"315","geneComp_00025498","PEX19","PEX19","normal","tumor",0.00765025050661449,TRUE,203
"317","geneComp_00019628","KDSR","KDSR","normal","tumor",0.00765733253867393,TRUE,204
"319","geneComp_00003887","CLTCL1","CLTCL1","normal","tumor",0.0076615478381483,TRUE,205
"320","geneComp_00023709","NCEH1","NCEH1","normal","tumor",0.00771351073374625,TRUE,206
"321","geneComp_00019103","ING5","ING5","normal","tumor",0.00787552398291578,TRUE,207
"323","geneComp_00002907","CCDC82","CCDC82","normal","tumor",0.00798450489419991,TRUE,208
